Starting rpc server at 0.0.0.0:9001...
{"@timestamp":"2026-05-03T18:42:00.138+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 37, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T18:43:00.127+08:00","caller":"stat/usage.go:82","content":"CPU: 38m, MEMORY: Alloc=10.0Mi, TotalAlloc=60.7Mi, Sys=21.6Mi, NumGC=16","level":"stat"}
{"@timestamp":"2026-05-03T18:43:00.137+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 38, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T18:44:00.127+08:00","caller":"stat/usage.go:82","content":"CPU: 67m, MEMORY: Alloc=8.8Mi, TotalAlloc=64.8Mi, Sys=21.6Mi, NumGC=17","level":"stat"}
{"@timestamp":"2026-05-03T18:44:00.137+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 67, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T18:45:00.127+08:00","caller":"stat/usage.go:82","content":"CPU: 236m, MEMORY: Alloc=6.8Mi, TotalAlloc=68.2Mi, Sys=21.6Mi, NumGC=18","level":"stat"}
{"@timestamp":"2026-05-03T18:45:00.138+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 236, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T18:46:00.126+08:00","caller":"stat/usage.go:82","content":"CPU: 92m, MEMORY: Alloc=9.9Mi, TotalAlloc=71.2Mi, Sys=21.6Mi, NumGC=18","level":"stat"}
{"@timestamp":"2026-05-03T18:46:00.137+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 88, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T18:47:00.126+08:00","caller":"stat/usage.go:82","content":"CPU: 229m, MEMORY: Alloc=8.0Mi, TotalAlloc=74.6Mi, Sys=21.6Mi, NumGC=19","level":"stat"}
{"@timestamp":"2026-05-03T18:47:00.137+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 229, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T18:48:00.127+08:00","caller":"stat/usage.go:82","content":"CPU: 28m, MEMORY: Alloc=6.2Mi, TotalAlloc=78.1Mi, Sys=21.6Mi, NumGC=20","level":"stat"}
{"@timestamp":"2026-05-03T18:48:00.137+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 28, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T18:49:00.126+08:00","caller":"stat/usage.go:82","content":"CPU: 49m, MEMORY: Alloc=9.3Mi, TotalAlloc=81.2Mi, Sys=21.6Mi, NumGC=20","level":"stat"}
{"@timestamp":"2026-05-03T18:49:00.137+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 48, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T18:50:00.127+08:00","caller":"stat/usage.go:82","content":"CPU: 37m, MEMORY: Alloc=7.3Mi, TotalAlloc=84.5Mi, Sys=21.6Mi, NumGC=21","level":"stat"}
{"@timestamp":"2026-05-03T18:50:00.137+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 37, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T18:51:00.126+08:00","caller":"stat/usage.go:82","content":"CPU: 48m, MEMORY: Alloc=10.4Mi, TotalAlloc=87.6Mi, Sys=21.6Mi, NumGC=21","level":"stat"}
{"@timestamp":"2026-05-03T18:51:00.137+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 48, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T18:52:00.126+08:00","caller":"stat/usage.go:82","content":"CPU: 33m, MEMORY: Alloc=8.4Mi, TotalAlloc=90.8Mi, Sys=21.6Mi, NumGC=22","level":"stat"}
{"@timestamp":"2026-05-03T18:52:00.137+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 33, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T18:53:00.126+08:00","caller":"stat/usage.go:82","content":"CPU: 213m, MEMORY: Alloc=6.6Mi, TotalAlloc=94.4Mi, Sys=21.6Mi, NumGC=23","level":"stat"}
